#WALK_BEGIN secs=1 hz=50 vx=0.0 ids=11-12
t_ms,set11,now11,err11,cur11,duty11,set12,now12,err12,cur12,duty12
0,170.6,171.1,-0.5,-83,-9.1,154.0,153.5,0.5,90,7.0
29,177.2,173.7,4.0,607,57.7,148.8,150.4,-1.5,-381,-31.7
49,182.8,181.2,1.3,7,28.7,144.5,143.6,0.7,343,43.3
69,188.6,185.7,-0.3,3,2.2,140.6,141.0,-0.3,-1,-3.2
89,193.1,191.5,1.3,183,21.5,137.4,137.9,-0.5,0,5.7
109,197.0,195.6,1.4,314,17.1,135.3,135.3,0.1,119,12.9
129,200.2,198.9,1.1,216,13.4,133.7,134.4,-0.7,-95,-9.5
149,202.0,201.1,1.0,205,35.5,132.9,133.6,-0.7,-94,-7.9
169,202.8,201.3,1.4,314,24.5,132.4,133.5,-1.1,-205,-16.0
189,202.8,204.2,-0.8,-38,-3.0,132.4,133.6,-1.2,-252,-19.1
209,202.8,202.0,0.9,52,9.1,132.4,133.5,-1.1,-206,-15.9
229,135.3,198.6,-63.2,-1146,-99.0,184.9,139.0,45.7,890,99.0
248,135.3,184.5,-48.8,-951,-99.0,184.9,154.9,29.7,1081,99.0
268,135.3,172.4,-36.9,-1236,-99.0,184.9,165.8,19.0,1174,99.0
288,135.3,159.1,-23.3,-1110,-99.0,184.9,179.0,5.6,60,-4.2
308,135.3,144.4,-8.7,-733,-64.5,184.9,181.8,2.7,423,32.6
328,135.3,137.9,-2.7,-156,-31.7,184.9,182.5,2.4,432,32.9
348,135.3,138.4,-3.1,-580,-44.0,184.9,182.6,2.3,435,33.0
368,135.3,138.4,-3.1,-584,-44.3,184.9,182.6,2.3,441,33.1
388,135.3,138.3,-3.1,-583,-44.2,184.9,182.6,2.3,441,33.0
408,135.3,138.3,-3.0,-582,-44.1,184.9,182.7,2.3,438,33.5
428,135.3,138.3,-3.0,-581,-44.0,184.9,182.6,2.2,435,33.6
449,140.9,137.7,2.8,474,57.3,179.6,182.0,-2.3,-948,-69.2
469,178.3,145.2,32.7,882,99.0,148.0,172.8,-24.5,-701,-99.0
489,196.2,162.6,33.3,734,99.0,135.6,155.3,-19.2,-681,-99.0
509,198.9,180.9,17.6,587,99.0,134.5,137.0,-2.3,74,73.3
529,195.4,198.4,-3.1,-351,-99.0,136.1,136.8,-0.9,-200,-21.7
549,191.7,200.3,-8.0,-1302,-99.0,138.2,138.2,0.2,-9,5.3
569,188.6,191.7,-0.2,62,34.2,140.6,140.7,-0.2,-153,-14.7
589,185.4,186.0,-0.8,-249,-11.9,142.7,142.6,0.1,-42,-9.2
609,182.2,184.0,-1.7,-311,-23.7,145.1,144.3,0.8,122,10.5
629,179.6,181.1,-1.3,-169,-30.0,147.2,146.0,1.1,217,14.2
649,177.0,179.8,-1.2,-148,-32.8,149.0,148.4,0.6,36,4.6
669,174.9,174.7,0.2,341,22.2,150.6,150.9,-0.3,-184,-16.8
689,173.0,175.9,-2.5,-634,-44.1,152.2,151.7,0.4,56,5.2
709,171.7,172.8,-1.1,75,42.1,153.2,152.5,0.7,96,8.7
729,170.9,171.9,-0.9,-146,5.2,153.8,153.7,0.1,-5,-5.0
749,170.6,171.1,-0.5,-80,-8.6,154.0,153.7,0.3,37,5.0
#WALK_END
